file,true_label,verdict,correct,ml_score
LA_E_6770020.flac,spoof,REAL,0,0.5874
LA_E_6263621.flac,spoof,REAL,0,0.5411
LA_E_7879939.flac,bonafide,REAL,1,0.5610
LA_E_1723476.flac,bonafide,REAL,1,0.5851
LA_E_5967227.flac,bonafide,REAL,1,0.5877
LA_E_4773437.flac,spoof,REAL,0,0.5665
LA_E_1271403.flac,spoof,REAL,0,0.6444
LA_E_9888174.flac,spoof,REAL,0,0.6053
LA_E_9157222.flac,bonafide,REAL,1,0.2900
LA_E_1650657.flac,spoof,FAKE,1,0.7059
LA_E_9917572.flac,bonafide,REAL,1,0.4780
LA_E_9852619.flac,bonafide,REAL,1,0.3204
LA_E_7807560.flac,bonafide,REAL,1,0.5262
LA_E_8017446.flac,spoof,REAL,0,0.5606
LA_E_9110805.flac,spoof,FAKE,1,0.7290
LA_E_4123700.flac,spoof,REAL,0,0.5900
LA_E_4699935.flac,bonafide,REAL,1,0.3941
LA_E_2926821.flac,bonafide,REAL,1,0.5164
LA_E_4980703.flac,spoof,REAL,0,0.3919
LA_E_5826339.flac,spoof,REAL,0,0.4936
LA_E_3069980.flac,bonafide,REAL,1,0.4651
LA_E_4457778.flac,bonafide,REAL,1,0.4315
LA_E_4693256.flac,bonafide,REAL,1,0.4320
LA_E_5879581.flac,spoof,REAL,0,0.6836
LA_E_8792162.flac,bonafide,REAL,1,0.4666
LA_E_6480290.flac,bonafide,FAKE,0,0.7965
LA_E_5206358.flac,spoof,REAL,0,0.4371
LA_E_6008453.flac,spoof,FAKE,1,0.7658
LA_E_8505735.flac,spoof,REAL,0,0.5324
LA_E_3063628.flac,bonafide,REAL,1,0.6353
LA_E_1375674.flac,spoof,REAL,0,0.6848
LA_E_6774048.flac,spoof,REAL,0,0.6679
LA_E_5872716.flac,bonafide,REAL,1,0.5475
LA_E_4962951.flac,spoof,FAKE,1,0.7334
LA_E_2946307.flac,spoof,REAL,0,0.4785
LA_E_4266160.flac,bonafide,REAL,1,0.6492
LA_E_5644582.flac,bonafide,REAL,1,0.4517
LA_E_4270498.flac,spoof,REAL,0,0.4176
LA_E_2030841.flac,bonafide,REAL,1,0.5004
LA_E_1796128.flac,bonafide,REAL,1,0.4202
LA_E_7720378.flac,bonafide,FAKE,0,0.8262
LA_E_9900388.flac,bonafide,REAL,1,0.5319
LA_E_2144092.flac,spoof,FAKE,1,0.7947
LA_E_5724624.flac,bonafide,REAL,1,0.4956
LA_E_2232704.flac,spoof,REAL,0,0.3540
LA_E_1423407.flac,bonafide,REAL,1,0.4608
LA_E_9287792.flac,bonafide,REAL,1,0.5774
LA_E_8984572.flac,spoof,REAL,0,0.6165
LA_E_1259373.flac,bonafide,REAL,1,0.5735
LA_E_8880348.flac,bonafide,REAL,1,0.6509
LA_E_5541362.flac,bonafide,REAL,1,0.5828
LA_E_5216084.flac,bonafide,REAL,1,0.2942
LA_E_8870454.flac,spoof,REAL,0,0.5895
LA_E_6977530.flac,spoof,REAL,0,0.6222
LA_E_5870152.flac,spoof,FAKE,1,0.7622
LA_E_9176205.flac,spoof,FAKE,1,0.7048
LA_E_5802849.flac,bonafide,REAL,1,0.4518
LA_E_6290719.flac,spoof,REAL,0,0.5184
LA_E_1519892.flac,bonafide,REAL,1,0.3534
LA_E_7003239.flac,spoof,FAKE,1,0.7089
LA_E_4191977.flac,bonafide,REAL,1,0.5076
LA_E_7883944.flac,spoof,FAKE,1,0.7300
LA_E_1300905.flac,spoof,FAKE,1,0.7504
LA_E_6508409.flac,spoof,FAKE,1,0.7172
LA_E_4789963.flac,spoof,REAL,0,0.5635
LA_E_4609582.flac,spoof,REAL,0,0.5016
LA_E_1013759.flac,spoof,REAL,0,0.4797
LA_E_5870448.flac,bonafide,REAL,1,0.5434
LA_E_5021960.flac,bonafide,REAL,1,0.6737
LA_E_5717742.flac,bonafide,FAKE,0,0.8247
LA_E_7997254.flac,spoof,FAKE,1,0.8730
LA_E_6033253.flac,spoof,REAL,0,0.5480
LA_E_8506945.flac,bonafide,REAL,1,0.6970
LA_E_4285711.flac,bonafide,REAL,1,0.3526
LA_E_7030541.flac,spoof,FAKE,1,0.7681
LA_E_9597220.flac,spoof,REAL,0,0.6460
LA_E_6426456.flac,bonafide,REAL,1,0.4725
LA_E_7977905.flac,spoof,REAL,0,0.6395
LA_E_5258362.flac,bonafide,FAKE,0,0.7088
LA_E_2698491.flac,spoof,FAKE,1,0.7034
LA_E_2282962.flac,bonafide,REAL,1,0.4689
LA_E_5291763.flac,bonafide,FAKE,0,0.7425
LA_E_6066277.flac,spoof,FAKE,1,0.7066
LA_E_5747140.flac,spoof,FAKE,1,0.7468
LA_E_6843828.flac,bonafide,REAL,1,0.5646
LA_E_5774616.flac,spoof,REAL,0,0.4397
LA_E_6513975.flac,spoof,REAL,0,0.4401
LA_E_6327455.flac,bonafide,REAL,1,0.5817
LA_E_7484116.flac,spoof,REAL,0,0.6836
LA_E_3768179.flac,bonafide,REAL,1,0.4778
LA_E_8947143.flac,bonafide,REAL,1,0.3770
LA_E_5500389.flac,bonafide,FAKE,0,0.7474
LA_E_9593624.flac,bonafide,REAL,1,0.6057
LA_E_1617837.flac,bonafide,REAL,1,0.4709
LA_E_3032647.flac,spoof,FAKE,1,0.8243
LA_E_2011127.flac,spoof,REAL,0,0.5667
LA_E_4770811.flac,spoof,FAKE,1,0.7286
LA_E_3646593.flac,bonafide,FAKE,0,0.7766
LA_E_8292971.flac,bonafide,REAL,1,0.5514
LA_E_5958045.flac,bonafide,REAL,1,0.4617
LA_E_1544516.flac,bonafide,REAL,1,0.2103
LA_E_5601052.flac,bonafide,REAL,1,0.5577
LA_E_5084198.flac,spoof,REAL,0,0.5379
LA_E_1997648.flac,bonafide,REAL,1,0.2791
LA_E_8925580.flac,spoof,REAL,0,0.6175
LA_E_4469260.flac,bonafide,REAL,1,0.3720
LA_E_8448165.flac,spoof,FAKE,1,0.8244
LA_E_2188079.flac,bonafide,FAKE,0,0.7050
LA_E_9312619.flac,spoof,REAL,0,0.4972
LA_E_9066759.flac,spoof,REAL,0,0.4178
LA_E_4269821.flac,spoof,REAL,0,0.6456
LA_E_1920330.flac,bonafide,REAL,1,0.6124
LA_E_6509429.flac,bonafide,REAL,1,0.4539
LA_E_9404737.flac,bonafide,REAL,1,0.5807
LA_E_6298863.flac,spoof,REAL,0,0.5712
LA_E_8372448.flac,spoof,FAKE,1,0.8187
LA_E_1340697.flac,bonafide,REAL,1,0.5438
LA_E_6774299.flac,spoof,REAL,0,0.6345
LA_E_9853484.flac,spoof,REAL,0,0.3825
LA_E_7576808.flac,bonafide,REAL,1,0.2746
LA_E_6984794.flac,bonafide,REAL,1,0.6313
LA_E_6389014.flac,spoof,FAKE,1,0.8169
LA_E_1682046.flac,bonafide,REAL,1,0.2660
LA_E_3955053.flac,spoof,REAL,0,0.6751
LA_E_2804252.flac,bonafide,REAL,1,0.5288
LA_E_9766718.flac,bonafide,REAL,1,0.6794
LA_E_4542100.flac,bonafide,REAL,1,0.2412
LA_E_3007121.flac,bonafide,REAL,1,0.5752
LA_E_2668212.flac,spoof,FAKE,1,0.7223
LA_E_1683570.flac,bonafide,REAL,1,0.4395
LA_E_3515545.flac,bonafide,REAL,1,0.6715
LA_E_7624571.flac,bonafide,REAL,1,0.6047
LA_E_2434901.flac,bonafide,REAL,1,0.3545
LA_E_2586895.flac,spoof,FAKE,1,0.8330
LA_E_9166736.flac,spoof,REAL,0,0.4846
LA_E_6789665.flac,bonafide,FAKE,0,0.7633
LA_E_2972661.flac,spoof,REAL,0,0.4758
LA_E_6237400.flac,spoof,FAKE,1,0.8216
LA_E_8867795.flac,spoof,FAKE,1,0.8654
LA_E_5575238.flac,spoof,REAL,0,0.4713
LA_E_5448691.flac,bonafide,REAL,1,0.6241
LA_E_8798127.flac,spoof,REAL,0,0.3694
LA_E_4838661.flac,bonafide,REAL,1,0.6987
LA_E_3373818.flac,bonafide,REAL,1,0.3478
LA_E_5904099.flac,spoof,REAL,0,0.2214
LA_E_7679590.flac,bonafide,REAL,1,0.2347
LA_E_7922801.flac,spoof,REAL,0,0.5546
LA_E_9084288.flac,bonafide,REAL,1,0.5519
LA_E_1911904.flac,bonafide,REAL,1,0.6327
LA_E_9644871.flac,bonafide,REAL,1,0.4936
LA_E_2489344.flac,spoof,REAL,0,0.6623
LA_E_1147767.flac,bonafide,REAL,1,0.6384
LA_E_6270780.flac,bonafide,REAL,1,0.4185
LA_E_6779064.flac,spoof,REAL,0,0.5860
LA_E_4659012.flac,spoof,REAL,0,0.5274
LA_E_8487469.flac,spoof,REAL,0,0.4377
LA_E_7473110.flac,bonafide,REAL,1,0.3138
LA_E_4614418.flac,spoof,REAL,0,0.3553
LA_E_6374570.flac,spoof,REAL,0,0.5706
LA_E_6123762.flac,bonafide,REAL,1,0.4622
LA_E_3287711.flac,bonafide,FAKE,0,0.7607
LA_E_2999873.flac,bonafide,REAL,1,0.6419
LA_E_4113704.flac,spoof,REAL,0,0.5420
LA_E_3289436.flac,bonafide,REAL,1,0.6798
LA_E_8546167.flac,spoof,REAL,0,0.6407
LA_E_5649322.flac,bonafide,REAL,1,0.6601
LA_E_8135621.flac,bonafide,REAL,1,0.6999
LA_E_1068136.flac,spoof,FAKE,1,0.7095
LA_E_3303331.flac,bonafide,REAL,1,0.4263
LA_E_7353692.flac,spoof,REAL,0,0.6809
LA_E_6618227.flac,spoof,FAKE,1,0.7416
LA_E_7982386.flac,spoof,FAKE,1,0.7086
